table_schema;table_name;column_name;origin_column;primary_key;index;description;ref_geom_table_schema;ref_geom_table_name;geom_join_on;coordinates_ifproj;condition
sas;meteo_10a12_2021;lambx;LAMBX;FALSE;FALSE;Coordonnées point interpolé L2e X Safran;;;;x;
sas;meteo_10a12_2021;lamby;LAMBY;FALSE;FALSE;Coordonnées point interpolé L2e Y Safran;;;;y;
sas;meteo_10a12_2021;date;DATE;FALSE;TRUE;Mois de modélisation;;;;;
sas;meteo_10a12_2021;pretotm_mens;PRETOTM_MENS;FALSE;FALSE;Cumul de précipitations totales PRENEI et PRELIQ, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;t_mens;T_MENS;FALSE;FALSE;Température, moyenne mensuelle - unités : °C et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;evap_mens;EVAP_MENS;FALSE;FALSE;Evapotranspiration réelle, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;etp_mens;ETP_MENS;FALSE;FALSE;Evapotranspiration potentielle (cumul mensuel à partir des ETP décadaires) - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;pe_mens;PE_MENS;FALSE;FALSE;Pluies efficaces, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;swi_mens;SWI_MENS;FALSE;FALSE;Indice d humidité des sols, moyenne mensuelle - unités :  - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;drainc_mens;DRAINC_MENS;FALSE;FALSE;Drainage, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;runc_mens;RUNC_MENS;FALSE;FALSE;Ruissellemnt, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;spi1_mens;SPI1_MENS;FALSE;FALSE;Indice sècheresse des précipitations intégré sur 1 mois - unités :  - pas de temps : mensuel;;;;;
sas;meteo_10a12_2021;ecoulement_mens;ECOULEMENT_MENS;FALSE;FALSE;Ecoulement à la base du manteau neigeux, cumul mensuel - unités : mm et dixièmes - pas de temps : mensuel;;;;;
sas;stations_naiades;cdstationmesureeauxsurface;CdStationMesureEauxSurface;TRUE;FALSE;"Code de la station de mesure: Identifiant de la
station de mesure dans le référentiel national
Sandre
Champ permettant d’effectuer une jointure
avec les autres fichiers";;;;;
sas;stations_naiades;lbstationmesureeauxsurface;LbStationMesureEauxSurface;FALSE;FALSE;Libellé national de la station de mesure;;;;;
sas;stations_naiades;durstationmesureeauxsurface;DurStationMesureEauxSurface;FALSE;FALSE;Dureté moyenne de l’eau;;;;;
sas;stations_naiades;coordxstationmesureeauxsurface;CoordXStationMesureEauxSurface;FALSE;FALSE;"Coordonnée X du point caractéristique de la
station de mesure";;;;x;
sas;stations_naiades;coordystationmesureeauxsurface;CoordYStationMesureEauxSurface;FALSE;FALSE;"Coordonnée Y du point caractéristique de la
station de mesure";;;;y;
sas;stations_naiades;cdprojstationmesureeauxsurface;CdProjStationMesureEauxSurface;FALSE;TRUE;"Code du type de projection des coordonnées de
la station de mesure";;;;;
sas;stations_naiades;libelleprojection;LibelleProjection;FALSE;FALSE;"Libellé du type projection des coordonnées de la
station de mesure";;;;;
sas;stations_naiades;codecommune;CodeCommune;FALSE;TRUE;Code INSEE de la commune;;;;;
sas;stations_naiades;lbcommune;LbCommune;FALSE;FALSE;Nom de la commune d’implantation;;;;;
sas;stations_naiades;codedepartement;CodeDepartement;FALSE;TRUE;Code INSEE du département;;;;;
sas;stations_naiades;lbdepartement;LbDepartement;FALSE;FALSE;Nom du département;;;;;
